,지역,년,주,주 평균 일교차(°C),전날 대비 최고 기온 상승 최대 변화(°C),전날 대비 최저 기온 하강 최대 변화(°C),주평균 최대 풍속(m/s),주평균 평균 풍속(m/s),SO2_최대값,CO_최대값,O3_최대값,NO2_최대값,PM10_최대값,PM25_최대값,풍향(N~NE),풍향(NE~E),풍향(E~SE),풍향(SE~S),풍향(S~SW),풍향(SW~W),풍향(W~NW),풍향(NW~N),환자 수,100만명 당 환자수,주 평균 기온(°C) 5도 미만,주 평균 기온(°C) 5도 이상 10도 미만,주 평균 기온(°C) 10도 이상 15도 미만,주 평균 기온(°C) 15도 이상 20도 미만,주 평균 기온(°C) 20도 이상 25도 미만,주 평균 기온(°C) 25도 이상,상대습도 (건조),상대습도 (적정),상대습도 (습함)
533,대구,2021,27,7.599999999999999,3.5,2.0,5.9,1.5142857142857142,0.004428571428571428,0.8285714285714285,0.06257142857142857,0.032857142857142856,46.42857142857143,27.714285714285715,0,0,2,2,0,1,0,2,61.0,25.572102429265886,0,0,0,0,1,0,0,0,1
534,대전,2021,27,6.371428571428571,2.3000000000000007,2.1999999999999993,5.2,1.1857142857142857,0.004,0.5428571428571428,0.056999999999999995,0.016857142857142855,35.857142857142854,20.428571428571427,0,1,0,0,1,5,0,0,53.0,36.49506868991655,0,0,0,0,0,1,0,0,1
535,부산,2021,27,4.814285714285715,1.6999999999999993,1.1999999999999993,14.2,3.6142857142857143,0.0064285714285714285,0.6714285714285715,0.09628571428571428,0.04585714285714286,84.0,59.857142857142854,0,0,0,1,3,3,0,0,53.0,15.819101116888234,0,0,0,0,1,0,0,0,1
536,서울,2021,27,6.028571428571428,3.799999999999997,2.8999999999999986,5.4,1.8571428571428572,0.008857142857142857,0.8428571428571429,0.09542857142857143,0.044571428571428574,72.85714285714286,51.0,0,0,0,1,1,5,0,0,303.0,31.86301469547476,0,0,0,0,0,1,0,1,0
537,울산,2021,27,5.67142857142857,5.199999999999999,0.6000000000000014,5.1,1.3857142857142857,0.028714285714285716,1.1714285714285713,0.063,0.04985714285714286,54.57142857142857,38.714285714285715,1,0,0,0,3,2,0,1,24.0,21.398155478997708,0,0,0,0,1,0,0,0,1
538,인천,2021,27,5.633333333333332,2.8000000000000007,1.1666666666666679,6.2,2.0142857142857142,0.006285714285714285,0.8428571428571429,0.09928571428571428,0.04042857142857143,80.71428571428571,57.142857142857146,0,0,0,0,1,6,0,0,84.0,28.490270064018315,0,0,0,0,1,0,0,0,1
539,광주,2021,28,8.257142857142856,2.0,1.8999999999999986,5.1,1.7571428571428573,0.009857142857142858,0.8571428571428571,0.08485714285714285,0.02842857142857143,48.57142857142857,28.285714285714285,0,0,0,5,2,0,0,0,39.0,27.05306771382849,0,0,0,0,0,1,0,0,1
540,대구,2021,28,9.842857142857142,1.5,1.8999999999999986,6.5,1.8142857142857143,0.006857142857142858,0.6285714285714284,0.07314285714285715,0.03,45.57142857142857,26.142857142857142,0,0,3,1,0,1,2,0,68.0,28.50660598672263,0,0,0,0,0,1,0,1,0
541,대전,2021,28,9.071428571428571,2.1999999999999957,1.0,7.8,1.3857142857142857,0.004,0.5285714285714286,0.05814285714285714,0.018571428571428572,38.42857142857143,26.0,0,1,0,4,0,2,0,0,68.0,46.82386171536463,0,0,0,0,0,1,0,1,0
542,부산,2021,28,4.728571428571428,1.0,1.5999999999999979,8.5,3.142857142857143,0.006,0.5571428571428572,0.09757142857142857,0.037571428571428575,70.85714285714286,40.142857142857146,0,1,2,2,1,1,0,0,77.0,22.982467660384792,0,0,0,0,0,1,0,0,1
